document_url,length
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-160312-26.mp3,25.56
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-160235-20.mp3,17.136
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-152506-14.mp3,44.928
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-151818-16.mp3,44.424
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-150948-20.mp3,33.12
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-145518-14.mp3,63.504
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-145118-28.mp3,53.784
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-145015-6.mp3,21.6
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-144950-12.mp3,23.184
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-134719-6.mp3,131.688
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-133955-28.mp3,97.416
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-133734-30.mp3,34.272
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-133555-10.mp3,179.208
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-122359-10.mp3,258.408
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-114011-12.mp3,142.488
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-113745-2.mp3,7.416
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-111228-22.mp3,195.048
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-22-110020-18.mp3,69.984
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-225813-16.mp3,49.68
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-203903-8.mp3,53.136
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-181519-12.mp3,56.304
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-175604-14.mp3,54.36
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-175350-30.mp3,366.84
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-174641-2.mp3,243.576
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-170820-4.mp3,143.64
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-162547-16.mp3,70.92
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-161143-6.mp3,114.912
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-160102-30.mp3,6.552
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-122951-10.mp3,35.712
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-122747-10.mp3,342.36
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-122002-24.mp3,16.344
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-113058-14.mp3,31.752
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-112808-26.mp3,47.592
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-112000-14.mp3,126.216
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-110248-18.mp3,90.504
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-110034-18.mp3,181.368
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-104224-24.mp3,54.936
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-104119-10.mp3,62.856
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-21-103924-24.mp3,283.032
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-175354-14.mp3,50.904
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-162612-18.mp3,54.288
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-155616-8.mp3,22.032
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-154341-28.mp3,20.088
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-9009-2014-11-20-154313-11.mp3,20.52
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-153100-20.mp3,95.472
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-152004-28.mp3,77.328
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-144436-4.mp3,20.232
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-144358-12.mp3,11.52
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-135117-10.mp3,41.184
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-132149-16.mp3,45.288
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-123608-12.mp3,43.488
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-121954-14.mp3,61.848
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-113400-28.mp3,50.04
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-110426-12.mp3,90
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-105636-30.mp3,36.072
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-104540-20.mp3,554.112
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-103218-2.mp3,182.016
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-094946-18.mp3,20.88
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-094908-4.mp3,147.096
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-094129-10.mp3,32.904
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-093640-10.mp3,31.248
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-093548-12.mp3,14.184
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-085951-26.mp3,19.44
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-20-084008-8.mp3,24.048
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-220013-10.mp3,36.504
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-212811-12.mp3,131.976
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-200242-6.mp3,5.256
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-194141-28.mp3,34.92
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2014-11-19-191955-16.mp3,70.128
